Depth Salinity Temperature N
1.018237 38.968130 14.308870 0.002428
3.165747 38.967840 14.301820 0.002392
5.464963 38.967690 14.295230 0.001811
7.920377 38.967700 14.294240 0.000793
10.536600 38.967650 14.293590 0.000600
13.318380 38.967540 14.292740 0.000611
16.270590 38.967430 14.291780 0.000649
19.398210 38.967280 14.290590 0.000711
22.706390 38.967000 14.288720 0.000763
26.200400 38.966360 14.285520 0.000615
29.885640 38.966080 14.284290 0.000470
33.767670 38.965800 14.282910 0.000545
37.852190 38.965340 14.280850 0.000590
42.145040 38.964820 14.278420 0.000736
46.652210 38.963240 14.271630 0.000919
51.379860 38.962150 14.265760 0.000952
56.334290 38.961210 14.260630 0.000794
61.521960 38.960370 14.256670 0.000661
66.949490 38.959380 14.252170 0.000683
72.623690 38.958120 14.246470 0.000832
78.551500 38.955580 14.235160 0.000933
84.740040 38.952200 14.220920 0.000908
91.196630 38.948640 14.206120 0.000922
97.928730 38.943040 14.183650 0.000920
104.944000 38.937090 14.160190 0.000998
112.250200 38.930230 14.131800 0.001122
119.855400 38.923010 14.101650 0.001108
127.767800 38.915330 14.070190 0.001007
135.995800 38.908050 14.041060 0.000895
144.547900 38.901000 14.013140 0.000857
153.432800 38.894490 13.986970 0.000878
162.659600 38.888520 13.962280 0.000933
172.237400 38.883000 13.938420 0.000978
182.175400 38.877940 13.915860 0.000958
192.483100 38.873130 13.894610 0.000870
203.170400 38.869090 13.877020 0.000745
214.247200 38.866000 13.863760 0.000618
225.723400 38.863530 13.853460 0.000497
237.609500 38.862250 13.848070 0.000372
249.915800 38.861290 13.844360 0.000293
262.653200 38.860290 13.840610 0.000264
275.832500 38.859570 13.838020 0.000234
289.464800 38.859490 13.837760 0.000231
303.561300 38.859260 13.836940 0.000235
318.133500 38.858700 13.834940 0.000234
333.193100 38.858590 13.834550 0.000232
348.752000 38.858100 13.832820 0.000233
364.822000 38.857830 13.831850 0.000245
381.415400 38.857580 13.830890 0.000254
398.544700 38.857250 13.829630 0.000249
416.222300 38.856950 13.828440 0.000230
434.461100 38.856770 13.827740 0.000213
453.273800 38.856660 13.827320 0.000206
472.673500 38.856410 13.826420 0.000201
492.673500 38.856230 13.825790 0.000197
513.287000 38.856110 13.825370 0.000206
534.527600 38.856030 13.824990 0.000213
556.408900 38.855840 13.824230 0.000221
578.944600 38.855590 13.823160 0.000229
602.148600 38.855320 13.822030 0.000231
626.034900 38.854940 13.820470 0.000233
650.617600 38.854430 13.818460 0.000229
675.910700 38.853730 13.815780 0.000213
701.928600 38.852310 13.810680 0.000208
728.685600 38.851550 13.807700 0.000187
756.196000 38.850640 13.804490 0.000145
784.474300 38.850040 13.802420 0.000122
813.534900 38.849210 13.799630 0.000107
843.392200 38.848470 13.796930 0.000112
874.060700 38.847500 13.793430 0.000093
905.554800 38.845950 13.787940 0.000063
937.889100 38.844840 13.783890 0.000065
971.077900 38.844300 13.781800 0.000091
1005.135000 38.842330 13.775050 0.000157
1040.076000 38.841760 13.773130 0.000163
1075.914000 38.841170 13.771100 0.000163
1112.664000 38.840740 13.769630 0.000169
1150.338000 38.840370 13.768370 0.000200
1188.952000 38.838850 13.763320 0.000221
1228.519000 38.837120 13.757510 0.000224
1269.052000 38.835220 13.751150 0.000227
1310.564000 38.833240 13.744500 0.000231
1353.069000 38.830840 13.736530 0.000232
1396.580000 38.827890 13.726520 0.000225
1441.109000 38.824380 13.714610 0.000228
1486.668000 38.820820 13.702730 0.000203
1533.269000 38.818030 13.693170 0.000045
1580.925000 38.816540 13.687250 0.000181
1629.647000 38.815800 13.683660 0.000185
1679.445000 38.815250 13.681030 0.000172
1730.330000 38.814930 13.679140 0.000187
1782.314000 38.814880 13.678070 0.000226
1835.405000 38.815120 13.677610 0.000253
1889.613000 38.815560 13.677800 0.000251
1944.947000 38.816100 13.678420 0.000250
2001.417000 38.816720 13.679240 0.000253
2059.029000 38.817310 13.680020 0.000258
2117.792000 38.817900 13.680760 0.000257
2177.714000 38.818450 13.681450 0.000253
2238.800000 38.818970 13.682020 0.000250
2301.058000 38.819420 13.682400 0.000246
2364.492000 38.819800 13.682590 0.000242
2429.108000 38.820130 13.682630 0.000239
2494.910000 38.820420 13.682540 0.000235
2561.903000 38.820660 13.682300 0.000231
2630.090000 38.820860 13.681890 0.000231
2699.474000 38.821030 13.681290 0.000233
2770.057000 38.821170 13.680550 0.000231
2841.841000 38.821280 13.679690 0.000225
2914.827000 38.821350 13.678740 0.000224
2989.016000 38.821430 13.677720 0.000231
3064.407000 38.821500 13.676490 0.000237
3141.001000 38.821560 13.674990 0.000243
3218.796000 38.821620 13.673360 0.000239
3297.790000 38.821660 13.671890 0.000219
3377.981000 38.821680 13.670700 0.000196
3459.366000 38.821680 13.669740 0.000183
3541.942000 38.821660 13.668760 0.000178
3625.704000 38.821660 13.667860 0.000172
3710.647000 38.821670 13.667090 0.000159
3796.768000 38.821720 13.666720 0.000139
3884.060000 38.821830 13.666790 0.000125
3972.516000 38.821820 13.666470 0.000123
