Depth Salinity Temperature N
1.018237 38.857840 13.763350 0.001991
3.165747 38.857600 13.758330 0.001887
5.464963 38.857370 13.753990 0.001486
7.920377 38.856860 13.750680 0.001047
10.536600 38.856210 13.747110 0.000885
13.318380 38.855750 13.744640 0.000677
16.270590 38.855390 13.742890 0.000479
19.398210 38.855130 13.741730 0.000419
22.706390 38.855030 13.741050 0.000311
26.200400 38.854820 13.740360 0.000174
29.885640 38.854750 13.739980 0.000171
33.767670 38.854550 13.739460 0.000178
37.852190 38.854470 13.739130 0.000183
42.145040 38.854280 13.738720 0.000153
46.652210 38.854100 13.738360 0.000170
51.379860 38.853930 13.738070 0.000271
56.334290 38.853760 13.737790 0.000307
61.521960 38.853600 13.737520 0.000295
66.949490 38.853440 13.737270 0.000285
72.623690 38.853300 13.737070 0.000230
78.551500 38.853200 13.736930 0.000123
84.740040 38.853140 13.736890 0.000068
91.196630 38.853090 13.736870 0.000051
97.928730 38.853030 13.736860 0.000105
104.944000 38.852970 13.736860 0.000172
112.250200 38.852900 13.736870 0.000214
119.855400 38.852820 13.736890 0.000221
127.767800 38.852740 13.736910 0.000228
135.995800 38.852650 13.736940 0.000246
144.547900 38.852550 13.736980 0.000256
153.432800 38.852450 13.737050 0.000268
162.659600 38.852340 13.737150 0.000275
172.237400 38.852230 13.737260 0.000267
182.175400 38.852120 13.737380 0.000266
192.483100 38.851990 13.737500 0.000269
203.170400 38.851870 13.737660 0.000276
214.247200 38.851730 13.737840 0.000280
225.723400 38.851600 13.738040 0.000278
237.609500 38.851460 13.738260 0.000281
249.915800 38.851320 13.738490 0.000276
262.653200 38.851170 13.738750 0.000271
275.832500 38.851020 13.739030 0.000265
289.464800 38.850870 13.739320 0.000265
303.561300 38.850710 13.739620 0.000263
318.133500 38.850560 13.739950 0.000262
333.193100 38.850400 13.740300 0.000264
348.752000 38.850240 13.740670 0.000260
364.822000 38.850080 13.741050 0.000252
381.415400 38.849930 13.741460 0.000251
398.544700 38.849770 13.741890 0.000261
416.222300 38.849610 13.742330 0.000268
434.461100 38.849460 13.742790 0.000266
453.273800 38.849310 13.743270 0.000266
472.673500 38.849150 13.743750 0.000261
492.673500 38.849000 13.744250 0.000255
513.287000 38.848850 13.744750 0.000253
534.527600 38.848700 13.745260 0.000250
556.408900 38.848550 13.745770 0.000248
578.944600 38.848390 13.746280 0.000241
602.148600 38.848240 13.746780 0.000232
626.034900 38.848090 13.747300 0.000224
650.617600 38.847940 13.747780 0.000215
675.910700 38.847780 13.748230 0.000209
701.928600 38.847620 13.748670 0.000215
728.685600 38.847450 13.749090 0.000221
756.196000 38.847290 13.749490 0.000215
784.474300 38.847120 13.749870 0.000214
813.534900 38.846950 13.750230 0.000224
843.392200 38.846770 13.750540 0.000231
874.060700 38.846590 13.750820 0.000225
905.554800 38.846400 13.751060 0.000232
937.889100 38.846210 13.751270 0.000241
971.077900 38.846010 13.751430 0.000237
1005.135000 38.845800 13.751540 0.000248
1040.076000 38.845570 13.751550 0.000262
1075.914000 38.845330 13.751510 0.000260
1112.664000 38.845080 13.751400 0.000261
1150.338000 38.844810 13.751230 0.000261
1188.952000 38.844480 13.750770 0.000257
1228.519000 38.844080 13.750090 0.000254
1269.052000 38.843690 13.749380 0.000250
1310.564000 38.843320 13.748750 0.000242
1353.069000 38.842980 13.748170 0.000230
1396.580000 38.842590 13.747380 0.000219
1441.109000 38.842070 13.746110 0.000204
1486.668000 38.841440 13.744480 0.000190
1533.269000 38.840800 13.742770 0.000168
1580.925000 38.840100 13.740850 0.000150
1629.647000 38.839410 13.738910 0.000148
1679.445000 38.838630 13.736690 0.000147
1730.330000 38.837760 13.734110 0.000137
1782.314000 38.836830 13.731290 0.000106
1835.405000 38.835840 13.728180 0.000060
1889.613000 38.834870 13.725050 0.000009
1944.947000 38.833930 13.721950 0.000064
2001.417000 38.833090 13.719070 0.000099
2059.029000 38.832270 13.716220 0.000119
2117.792000 38.831400 13.713220 0.000119
2177.714000 38.830260 13.709310 0.000116
2238.800000 38.829080 13.705240 0.000139
2301.058000 38.828560 13.703220 0.000166
2364.492000 38.828160 13.701520 0.000187
2429.108000 38.828050 13.700530 0.000201
2494.910000 38.828030 13.699840 0.000207
2561.903000 38.828320 13.700060 0.000213
2630.090000 38.828710 13.700590 0.000206
2699.474000 38.829040 13.701050 0.000196
2770.057000 38.829240 13.701140 0.000187
2841.841000 38.829420 13.701200 0.000187
2914.827000 38.829660 13.701300 0.000193
2989.016000 38.829860 13.701230 0.000196
3064.407000 38.830060 13.701030 0.000195
3141.001000 38.830230 13.700720 0.000192
3218.796000 38.830370 13.700270 0.000191
3297.790000 38.830440 13.699590 0.000188
3377.981000 38.830440 13.698640 0.000194
3459.366000 38.830710 13.698370 0.000200
3541.942000 38.830910 13.697930 0.000184
3625.704000 38.830350 13.695120 0.000161
3710.647000 38.829840 13.692690 0.000159
3796.768000 38.829600 13.691050 0.000139
3884.060000 38.829220 13.689570 0.000080
3972.516000 38.828050 13.685660 0.000037
