Year,Date,MLD_max,Lat,Lon
1987,09-Mar-1987,2602.08715820312,43.1875,8.583333
1988,24-Feb-1988,2147.26293945312,42.97917,8.666667
1989,08-Jan-1989,1636.02722167969,42.1875,4.166667
1990,14-Feb-1990,1818.232421875,35.97917,28.54167
1991,29-Nov-1991,1555.13061523438,41.72917,5.291667
1992,04-Mar-1992,2436.75366210938,41.8125,4.833333
1993,14-Mar-1993,2977.24853515625,34.14583,24.875
1994,04-Feb-1994,1801.07299804688,33.77083,24.75
1995,20-Jan-1995,3243.88012695312,35.02083,23.54167
1996,09-Feb-1996,3474.75390625,34.72917,23.70833
1997,23-Feb-1997,1845.330078125,41.47917,4.666667
1998,30-Dec-1998,2269.35400390625,43.52083,8.833333
1999,16-Feb-1999,3352.29833984375,37.22917,18.125
2000,18-Feb-2000,2987.60205078125,37.52083,17.58333
2001,26-Feb-2001,2600.759765625,41.3125,4.958333
2002,19-Feb-2002,2686.189453125,40.89583,4.458333
2003,03-Mar-2003,3217.51953125,34.1875,26.75
2004,01-Feb-2004,3866.68090820312,34.5625,26.29167
2005,10-Mar-2005,3319.802734375,37.97917,18.58333
2006,10-Jan-2006,2747.65478515625,42.02083,7.291667
2007,20-Feb-2007,2960.26147460938,34.89583,27
2008,26-Feb-2008,2967.8447265625,34.6875,26.70833
2009,01-Mar-2009,3156.77978515625,34.6875,26.625
2010,11-Mar-2010,2692.27783203125,41.1875,6.416667
2011,02-Mar-2011,2747.09155273438,40.77083,6.166667
2012,21-Feb-2012,3969.55395507812,34.47917,26.16667
2013,16-Jan-2013,2982.07202148438,34.6875,26.41667
2014,18-Mar-2014,2999.07153320312,34.35417,26.08333
2015,12-Feb-2015,3668.27587890625,34.47917,26.25
2016,16-Mar-2016,2699.43603515625,42.22917,6.916667
2017,22-Dec-2017,2700.49658203125,40.89583,4.833333
2018,15-Feb-2018,2805.58618164062,34.85417,27.91667
2019,09-Jan-2019,2625.06567382812,34.1875,27.54167
2020,02-Feb-2020,2513.083984375,34.14583,27.375
2021,19-Jan-2021,2830.53955078125,34.52083,27.375
2022,20-Mar-2022,3948.01586914062,34.5625,26.29167
