Depth Salinity Temperature N
1.018237 38.868310 13.833300 0.000088
3.165747 38.868310 13.833300 0.000138
5.464963 38.868300 13.833290 0.000164
7.920377 38.868270 13.833200 0.000042
10.536600 38.868210 13.832950 0.000134
13.318380 38.868120 13.832600 0.000219
16.270590 38.868010 13.832080 0.000298
19.398210 38.867860 13.831390 0.000301
22.706390 38.867550 13.830160 0.000271
26.200400 38.867150 13.828650 0.000212
29.885640 38.866660 13.826870 0.000248
33.767670 38.866200 13.825180 0.000263
37.852190 38.865720 13.823530 0.000196
42.145040 38.865620 13.823300 0.000245
46.652210 38.865550 13.823120 0.000264
51.379860 38.865490 13.823000 0.000191
56.334290 38.865460 13.822930 0.000148
61.521960 38.865430 13.822850 0.000134
66.949490 38.865390 13.822770 0.000094
72.623690 38.865340 13.822670 0.000117
78.551500 38.865290 13.822560 0.000162
84.740040 38.865230 13.822430 0.000161
91.196630 38.865160 13.822300 0.000161
97.928730 38.865090 13.822140 0.000145
104.944000 38.865010 13.821970 0.000052
112.250200 38.864920 13.821780 0.000070
119.855400 38.864820 13.821560 0.000080
127.767800 38.864710 13.821320 0.000090
135.995800 38.864590 13.821050 0.000112
144.547900 38.864450 13.820750 0.000128
153.432800 38.864300 13.820420 0.000118
162.659600 38.864040 13.819690 0.000118
172.237400 38.863830 13.819170 0.000122
182.175400 38.863620 13.818670 0.000108
192.483100 38.863410 13.818180 0.000104
203.170400 38.863200 13.817710 0.000084
214.247200 38.862990 13.817210 0.000088
225.723400 38.862760 13.816710 0.000100
237.609500 38.862530 13.816180 0.000096
249.915800 38.862290 13.815660 0.000102
262.653200 38.862040 13.815150 0.000061
275.832500 38.861800 13.814640 0.000051
289.464800 38.861540 13.814120 0.000068
303.561300 38.861280 13.813590 0.000036
318.133500 38.861020 13.813050 0.000048
333.193100 38.860740 13.812490 0.000075
348.752000 38.860450 13.811920 0.000064
364.822000 38.860160 13.811330 0.000048
381.415400 38.859860 13.810730 0.000055
398.544700 38.859550 13.810110 0.000075
416.222300 38.859240 13.809460 0.000112
434.461100 38.858910 13.808790 0.000129
453.273800 38.858570 13.808090 0.000126
472.673500 38.858220 13.807370 0.000124
492.673500 38.857860 13.806620 0.000121
513.287000 38.857490 13.805830 0.000121
534.527600 38.857110 13.805010 0.000120
556.408900 38.856720 13.804150 0.000119
578.944600 38.856310 13.803250 0.000118
602.148600 38.855890 13.802310 0.000106
626.034900 38.855460 13.801320 0.000099
650.617600 38.855010 13.800280 0.000101
675.910700 38.854540 13.799190 0.000094
701.928600 38.854060 13.798040 0.000107
728.685600 38.853560 13.796820 0.000135
756.196000 38.853030 13.795540 0.000133
784.474300 38.852500 13.794200 0.000130
813.534900 38.851940 13.792780 0.000156
843.392200 38.851360 13.791290 0.000172
874.060700 38.850760 13.789720 0.000170
905.554800 38.850130 13.788060 0.000183
937.889100 38.849470 13.786260 0.000199
971.077900 38.848740 13.784250 0.000199
1005.135000 38.847960 13.782030 0.000216
1040.076000 38.847090 13.779520 0.000235
1075.914000 38.846160 13.776770 0.000235
1112.664000 38.845170 13.773810 0.000239
1150.338000 38.844140 13.770700 0.000244
1188.952000 38.843070 13.767470 0.000242
1228.519000 38.841950 13.764020 0.000240
1269.052000 38.840700 13.760120 0.000238
1310.564000 38.839360 13.755870 0.000234
1353.069000 38.837870 13.751140 0.000231
1396.580000 38.836220 13.745840 0.000226
1441.109000 38.834300 13.739660 0.000218
1486.668000 38.832160 13.732730 0.000232
1533.269000 38.828820 13.721960 0.000243
1580.925000 38.825180 13.710180 0.000201
1629.647000 38.822930 13.702700 0.000153
1679.445000 38.820730 13.695340 0.000135
1730.330000 38.818690 13.688380 0.000091
1782.314000 38.817090 13.682760 0.000112
1835.405000 38.813970 13.672410 0.000050
1889.613000 38.813330 13.669660 0.000185
1944.947000 38.813530 13.669620 0.000197
2001.417000 38.813720 13.669600 0.000198
2059.029000 38.813860 13.669420 0.000207
2117.792000 38.813980 13.669150 0.000207
2177.714000 38.814000 13.668580 0.000204
2238.800000 38.814000 13.667940 0.000208
2301.058000 38.814110 13.667590 0.000215
2364.492000 38.814330 13.667580 0.000219
2429.108000 38.814630 13.667800 0.000224
2494.910000 38.815020 13.668230 0.000228
2561.903000 38.815500 13.668930 0.000228
2630.090000 38.816080 13.669890 0.000234
2699.474000 38.816770 13.671070 0.000245
2770.057000 38.817570 13.672420 0.000255
2841.841000 38.818440 13.673770 0.000261
2914.827000 38.819290 13.674930 0.000265
2989.016000 38.820100 13.675810 0.000266
3064.407000 38.820830 13.676400 0.000256
3141.001000 38.821420 13.676700 0.000238
3218.796000 38.821830 13.676640 0.000220
3297.790000 38.822030 13.676110 0.000214
3377.981000 38.822110 13.674930 0.000228
3459.366000 38.822180 13.673330 0.000232
3541.942000 38.822250 13.671940 0.000213
3625.704000 38.822280 13.670800 0.000198
3710.647000 38.822300 13.669640 0.000192
3796.768000 38.822320 13.668600 0.000167
3884.060000 38.822330 13.668130 0.000155
3972.516000 38.822380 13.667480 0.000167
