Depth Salinity Temperature N
1.018237 38.855880 13.800100 0.000227
3.165747 38.855870 13.800110 0.000187
5.464963 38.855870 13.800120 0.000128
7.920377 38.855870 13.800130 0.000139
10.536600 38.855870 13.800150 0.000133
13.318380 38.855870 13.800160 0.000110
16.270590 38.855870 13.800170 0.000122
19.398210 38.855870 13.800190 0.000082
22.706390 38.855870 13.800200 0.000067
26.200400 38.855870 13.800220 0.000081
29.885640 38.855870 13.800230 0.000164
33.767670 38.855860 13.800250 0.000241
37.852190 38.855860 13.800260 0.000282
42.145040 38.855860 13.800280 0.000317
46.652210 38.855860 13.800290 0.000316
51.379860 38.855860 13.800310 0.000222
56.334290 38.855850 13.800330 0.000139
61.521960 38.855850 13.800350 0.000171
66.949490 38.855850 13.800360 0.000158
72.623690 38.855840 13.800370 0.000168
78.551500 38.855840 13.800390 0.000203
84.740040 38.855830 13.800400 0.000220
91.196630 38.855830 13.800420 0.000230
97.928730 38.855830 13.800440 0.000214
104.944000 38.855830 13.800460 0.000167
112.250200 38.855820 13.800480 0.000148
119.855400 38.855820 13.800500 0.000150
127.767800 38.855810 13.800520 0.000149
135.995800 38.855810 13.800540 0.000150
144.547900 38.855800 13.800560 0.000151
153.432800 38.855800 13.800580 0.000159
162.659600 38.855790 13.800590 0.000150
172.237400 38.855780 13.800610 0.000157
182.175400 38.855770 13.800630 0.000182
192.483100 38.855770 13.800650 0.000191
203.170400 38.855760 13.800660 0.000185
214.247200 38.855750 13.800680 0.000188
225.723400 38.855740 13.800690 0.000192
237.609500 38.855730 13.800700 0.000192
249.915800 38.855720 13.800710 0.000204
262.653200 38.855710 13.800720 0.000218
275.832500 38.855700 13.800730 0.000221
289.464800 38.855690 13.800740 0.000217
303.561300 38.855670 13.800740 0.000217
318.133500 38.855660 13.800750 0.000220
333.193100 38.855640 13.800740 0.000222
348.752000 38.855630 13.800740 0.000221
364.822000 38.855610 13.800740 0.000218
381.415400 38.855590 13.800730 0.000226
398.544700 38.855580 13.800710 0.000215
416.222300 38.855560 13.800700 0.000186
434.461100 38.855530 13.800680 0.000182
453.273800 38.855510 13.800660 0.000189
472.673500 38.855490 13.800630 0.000186
492.673500 38.855460 13.800600 0.000186
513.287000 38.855440 13.800560 0.000188
534.527600 38.855420 13.800520 0.000181
556.408900 38.855390 13.800480 0.000178
578.944600 38.855360 13.800430 0.000178
602.148600 38.855330 13.800390 0.000181
626.034900 38.855300 13.800330 0.000183
650.617600 38.855270 13.800280 0.000184
675.910700 38.855240 13.800220 0.000184
701.928600 38.855210 13.800170 0.000171
728.685600 38.855180 13.800110 0.000153
756.196000 38.855150 13.800050 0.000151
784.474300 38.855120 13.799980 0.000147
813.534900 38.855090 13.799920 0.000118
843.392200 38.855060 13.799850 0.000089
874.060700 38.855030 13.799780 0.000089
905.554800 38.855000 13.799710 0.000048
937.889100 38.854970 13.799630 0.000072
971.077900 38.854930 13.799550 0.000077
1005.135000 38.854900 13.799470 0.000111
1040.076000 38.854870 13.799380 0.000147
1075.914000 38.854840 13.799300 0.000156
1112.664000 38.854800 13.799220 0.000163
1150.338000 38.854770 13.799130 0.000173
1188.952000 38.854500 13.798250 0.000172
1228.519000 38.854340 13.797680 0.000167
1269.052000 38.854250 13.797370 0.000171
1310.564000 38.854060 13.796740 0.000160
1353.069000 38.853930 13.796220 0.000163
1396.580000 38.853230 13.793920 0.000166
1441.109000 38.852500 13.791430 0.000150
1486.668000 38.851530 13.788220 0.000123
1533.269000 38.850980 13.786260 0.000020
1580.925000 38.850860 13.785680 0.000105
1629.647000 38.850770 13.785070 0.000137
1679.445000 38.850720 13.784350 0.000159
1730.330000 38.851020 13.784810 0.000175
1782.314000 38.851370 13.785290 0.000161
1835.405000 38.851340 13.785060 0.000127
1889.613000 38.851060 13.783970 0.000119
1944.947000 38.850560 13.782150 0.000098
2001.417000 38.849780 13.779510 0.000035
2059.029000 38.848400 13.775130 0.000031
2117.792000 38.847270 13.771580 0.000033
2177.714000 38.846050 13.767770 0.000057
2238.800000 38.844250 13.762090 0.000067
2301.058000 38.842350 13.755940 0.000064
2364.492000 38.840140 13.748840 0.000127
2429.108000 38.837130 13.739510 0.000187
2494.910000 38.832760 13.725880 0.000225
2561.903000 38.827260 13.708590 0.000244
2630.090000 38.821150 13.689240 0.000236
2699.474000 38.815510 13.671180 0.000209
2770.057000 38.810230 13.654070 0.000177
2841.841000 38.805850 13.639660 0.000127
2914.827000 38.802470 13.628260 0.000079
2989.016000 38.800280 13.620160 0.000187
3064.407000 38.799400 13.615670 0.000231
3141.001000 38.799360 13.613850 0.000237
3218.796000 38.799530 13.612790 0.000234
3297.790000 38.799820 13.612240 0.000213
3377.981000 38.800100 13.612180 0.000176
3459.366000 38.800300 13.612330 0.000168
3541.942000 38.800400 13.611800 0.000184
3625.704000 38.800570 13.611310 0.000167
3710.647000 38.800720 13.611420 0.000118
3796.768000 38.800720 13.611440 0.000105
3884.060000 38.800880 13.611810 0.000134
3972.516000 38.801050 13.611820 0.000150
