Depth Salinity Temperature N
1.018237 38.855090 13.814410 0.000625
3.165747 38.855050 13.813850 0.000693
5.464963 38.855000 13.813020 0.000751
7.920377 38.854950 13.812170 0.000741
10.536600 38.854900 13.811290 0.000735
13.318380 38.854850 13.810380 0.000733
16.270590 38.854800 13.809420 0.000745
19.398210 38.854760 13.808400 0.000762
22.706390 38.854710 13.807290 0.000776
26.200400 38.854660 13.806090 0.000789
29.885640 38.854630 13.804880 0.000793
33.767670 38.854600 13.803730 0.000764
37.852190 38.854580 13.802740 0.000709
42.145040 38.854560 13.801900 0.000661
46.652210 38.854530 13.801160 0.000623
51.379860 38.854520 13.800490 0.000558
56.334290 38.854500 13.799900 0.000487
61.521960 38.854490 13.799390 0.000456
66.949490 38.854480 13.798940 0.000424
72.623690 38.854470 13.798540 0.000407
78.551500 38.854470 13.798200 0.000385
84.740040 38.854450 13.797910 0.000364
91.196630 38.854440 13.797640 0.000353
97.928730 38.854430 13.797420 0.000318
104.944000 38.854420 13.797240 0.000273
112.250200 38.854410 13.797100 0.000249
119.855400 38.854410 13.796990 0.000225
127.767800 38.854400 13.796930 0.000194
135.995800 38.854400 13.796910 0.000191
144.547900 38.854400 13.796890 0.000194
153.432800 38.854400 13.796860 0.000199
162.659600 38.854400 13.796830 0.000191
172.237400 38.854390 13.796800 0.000199
182.175400 38.854390 13.796760 0.000213
192.483100 38.854380 13.796720 0.000209
203.170400 38.854370 13.796680 0.000219
214.247200 38.854370 13.796640 0.000219
225.723400 38.854360 13.796610 0.000207
237.609500 38.854350 13.796590 0.000212
249.915800 38.854350 13.796570 0.000228
262.653200 38.854350 13.796560 0.000236
275.832500 38.854350 13.796560 0.000231
289.464800 38.854340 13.796560 0.000230
303.561300 38.854340 13.796560 0.000239
318.133500 38.854340 13.796540 0.000237
333.193100 38.854330 13.796520 0.000236
348.752000 38.854330 13.796500 0.000240
364.822000 38.854320 13.796460 0.000240
381.415400 38.854310 13.796400 0.000239
398.544700 38.854280 13.796300 0.000227
416.222300 38.854260 13.796210 0.000207
434.461100 38.854230 13.796130 0.000196
453.273800 38.854210 13.796070 0.000199
472.673500 38.854190 13.796010 0.000200
492.673500 38.854190 13.796010 0.000200
513.287000 38.854190 13.796010 0.000192
534.527600 38.854180 13.796010 0.000189
556.408900 38.854180 13.796010 0.000193
578.944600 38.854180 13.796010 0.000193
602.148600 38.854180 13.796010 0.000190
626.034900 38.854170 13.796010 0.000190
650.617600 38.854170 13.796020 0.000190
675.910700 38.854160 13.796020 0.000190
701.928600 38.854160 13.796030 0.000180
728.685600 38.854160 13.796040 0.000158
756.196000 38.854150 13.796050 0.000155
784.474300 38.854150 13.796060 0.000150
813.534900 38.854140 13.796070 0.000118
843.392200 38.854130 13.796070 0.000089
874.060700 38.854120 13.796070 0.000090
905.554800 38.854110 13.796070 0.000050
937.889100 38.854100 13.796060 0.000063
971.077900 38.854090 13.796050 0.000074
1005.135000 38.854070 13.796030 0.000113
1040.076000 38.854060 13.796000 0.000146
1075.914000 38.854040 13.795960 0.000153
1112.664000 38.854020 13.795920 0.000162
1150.338000 38.853850 13.795350 0.000170
1188.952000 38.853680 13.794770 0.000173
1228.519000 38.853330 13.793590 0.000169
1269.052000 38.852930 13.792120 0.000150
1310.564000 38.852600 13.790760 0.000120
1353.069000 38.852280 13.789330 0.000123
1396.580000 38.851610 13.786880 0.000128
1441.109000 38.851220 13.785390 0.000107
1486.668000 38.850740 13.783670 0.000093
1533.269000 38.850500 13.782800 0.000050
1580.925000 38.850360 13.782310 0.000031
1629.647000 38.850290 13.782080 0.000025
1679.445000 38.850170 13.781680 0.000045
1730.330000 38.849980 13.780950 0.000120
1782.314000 38.849930 13.780230 0.000155
1835.405000 38.849990 13.780170 0.000143
1889.613000 38.849950 13.779870 0.000134
1944.947000 38.849900 13.779530 0.000136
2001.417000 38.849780 13.778910 0.000139
2059.029000 38.849410 13.777490 0.000135
2117.792000 38.848630 13.774790 0.000112
2177.714000 38.847450 13.770870 0.000057
2238.800000 38.845840 13.765750 0.000072
2301.058000 38.843910 13.759670 0.000106
2364.492000 38.841630 13.752580 0.000119
2429.108000 38.839110 13.744620 0.000139
2494.910000 38.835690 13.733800 0.000188
2561.903000 38.831230 13.719900 0.000228
2630.090000 38.825890 13.703210 0.000238
2699.474000 38.820400 13.685900 0.000232
2770.057000 38.814670 13.667670 0.000207
2841.841000 38.809240 13.649770 0.000154
2914.827000 38.804970 13.635410 0.000095
2989.016000 38.801790 13.624580 0.000078
3064.407000 38.799840 13.617490 0.000197
3141.001000 38.799370 13.613880 0.000246
3218.796000 38.799300 13.611840 0.000232
3297.790000 38.799380 13.610690 0.000203
3377.981000 38.799630 13.610700 0.000175
3459.366000 38.799970 13.611210 0.000170
3541.942000 38.800240 13.611390 0.000175
3625.704000 38.800400 13.611060 0.000164
3710.647000 38.800620 13.611280 0.000127
3796.768000 38.800640 13.611330 0.000115
3884.060000 38.800870 13.611810 0.000138
3972.516000 38.801030 13.611850 0.000145
