Depth Salinity Temperature N
1.018237 38.862110 13.829310 0.000164
3.165747 38.862110 13.829330 0.000148
5.464963 38.862110 13.829340 0.000143
7.920377 38.862110 13.829360 0.000193
10.536600 38.862100 13.829380 0.000190
13.318380 38.862100 13.829400 0.000139
16.270590 38.862100 13.829420 0.000136
19.398210 38.862100 13.829440 0.000113
22.706390 38.862100 13.829470 0.000043
26.200400 38.862100 13.829490 0.000034
29.885640 38.862100 13.829520 0.000146
33.767670 38.862090 13.829540 0.000230
37.852190 38.862090 13.829570 0.000278
42.145040 38.862080 13.829540 0.000323
46.652210 38.862050 13.829440 0.000324
51.379860 38.862020 13.829330 0.000279
56.334290 38.862000 13.829200 0.000228
61.521960 38.861970 13.829070 0.000235
66.949490 38.861960 13.828950 0.000254
72.623690 38.861950 13.828840 0.000257
78.551500 38.861950 13.828770 0.000267
84.740040 38.861950 13.828730 0.000266
91.196630 38.861950 13.828700 0.000259
97.928730 38.861950 13.828680 0.000228
104.944000 38.861950 13.828700 0.000196
112.250200 38.861970 13.828750 0.000187
119.855400 38.862010 13.828900 0.000161
127.767800 38.862070 13.829160 0.000144
135.995800 38.862100 13.829310 0.000149
144.547900 38.862110 13.829380 0.000161
153.432800 38.862120 13.829430 0.000159
162.659600 38.862130 13.829520 0.000155
172.237400 38.862160 13.829660 0.000182
182.175400 38.862200 13.829800 0.000204
192.483100 38.862240 13.829940 0.000208
203.170400 38.862280 13.830080 0.000219
214.247200 38.862320 13.830180 0.000225
225.723400 38.862350 13.830270 0.000228
237.609500 38.862380 13.830310 0.000239
249.915800 38.862390 13.830270 0.000255
262.653200 38.862400 13.830190 0.000268
275.832500 38.862440 13.830240 0.000266
289.464800 38.862470 13.830250 0.000267
303.561300 38.862500 13.830250 0.000270
318.133500 38.862530 13.830230 0.000269
333.193100 38.862580 13.830300 0.000275
348.752000 38.862660 13.830400 0.000282
364.822000 38.862740 13.830510 0.000296
381.415400 38.862840 13.830540 0.000318
398.544700 38.862880 13.830270 0.000307
416.222300 38.862840 13.829810 0.000274
434.461100 38.863080 13.830430 0.000263
453.273800 38.863390 13.831270 0.000242
472.673500 38.863520 13.831680 0.000210
492.673500 38.863530 13.831710 0.000197
513.287000 38.863530 13.831740 0.000188
534.527600 38.863530 13.831770 0.000188
556.408900 38.863530 13.831780 0.000191
578.944600 38.863530 13.831790 0.000192
602.148600 38.863540 13.831830 0.000189
626.034900 38.863540 13.831870 0.000190
650.617600 38.863550 13.831910 0.000193
675.910700 38.863560 13.831960 0.000190
701.928600 38.863560 13.832000 0.000176
728.685600 38.863570 13.832050 0.000157
756.196000 38.863570 13.832100 0.000151
784.474300 38.863570 13.832140 0.000148
813.534900 38.863570 13.832170 0.000121
843.392200 38.863570 13.832200 0.000089
874.060700 38.863560 13.832210 0.000090
905.554800 38.863550 13.832200 0.000048
937.889100 38.863530 13.832170 0.000066
971.077900 38.863510 13.832120 0.000069
1005.135000 38.863490 13.832080 0.000093
1040.076000 38.863340 13.831430 0.000113
1075.914000 38.863250 13.830960 0.000123
1112.664000 38.863240 13.830840 0.000147
1150.338000 38.863250 13.830860 0.000151
1188.952000 38.863280 13.830830 0.000129
1228.519000 38.863120 13.829990 0.000125
1269.052000 38.862870 13.828900 0.000137
1310.564000 38.862720 13.828200 0.000142
1353.069000 38.862560 13.827570 0.000145
1396.580000 38.862150 13.826070 0.000134
1441.109000 38.861990 13.825460 0.000110
1486.668000 38.861770 13.824650 0.000086
1533.269000 38.861560 13.823860 0.000031
1580.925000 38.861250 13.822630 0.000089
1629.647000 38.861020 13.821630 0.000068
1679.445000 38.860570 13.820060 0.000033
1730.330000 38.860150 13.818650 0.000026
1782.314000 38.859760 13.817330 0.000034
1835.405000 38.859000 13.814880 0.000041
1889.613000 38.857900 13.811380 0.000047
1944.947000 38.856820 13.807820 0.000068
2001.417000 38.855240 13.802750 0.000134
2059.029000 38.852030 13.792440 0.000123
2117.792000 38.850080 13.786100 0.000124
2177.714000 38.846800 13.775710 0.000193
2238.800000 38.842330 13.761620 0.000217
2301.058000 38.837410 13.745990 0.000204
2364.492000 38.832550 13.730260 0.000176
2429.108000 38.827780 13.714580 0.000189
2494.910000 38.822500 13.697680 0.000219
2561.903000 38.816920 13.679880 0.000222
2630.090000 38.811360 13.662010 0.000203
2699.474000 38.806470 13.646130 0.000145
2770.057000 38.802930 13.634230 0.000084
2841.841000 38.800850 13.626510 0.000192
2914.827000 38.800020 13.622190 0.000235
2989.016000 38.799920 13.620280 0.000224
3064.407000 38.800000 13.619560 0.000203
3141.001000 38.800120 13.618910 0.000221
3218.796000 38.800240 13.617610 0.000239
3297.790000 38.800420 13.616530 0.000222
3377.981000 38.800570 13.615840 0.000196
3459.366000 38.800620 13.615000 0.000199
3541.942000 38.800590 13.613520 0.000195
3625.704000 38.800550 13.612420 0.000172
3710.647000 38.800590 13.611820 0.000144
3796.768000 38.800650 13.611810 0.000132
3884.060000 38.800810 13.611870 0.000163
3972.516000 38.801130 13.612000 0.000180
