Depth Salinity Temperature N
1.018237 38.863990 13.803040 0.000089
3.165747 38.863950 13.802880 0.000146
5.464963 38.863880 13.802580 0.000201
7.920377 38.863800 13.802230 0.000225
10.536600 38.863700 13.801790 0.000242
13.318380 38.863580 13.801270 0.000250
16.270590 38.863390 13.800490 0.000304
19.398210 38.863040 13.799040 0.000075
22.706390 38.862210 13.796270 0.000313
26.200400 38.861180 13.792730 0.000273
29.885640 38.860070 13.788900 0.000177
33.767670 38.859120 13.785610 0.000096
37.852190 38.858390 13.783200 0.000178
42.145040 38.857860 13.781570 0.000118
46.652210 38.857550 13.780700 0.000175
51.379860 38.857450 13.780430 0.000143
56.334290 38.857360 13.780230 0.000151
61.521960 38.857250 13.780000 0.000173
66.949490 38.857130 13.779740 0.000184
72.623690 38.856990 13.779440 0.000174
78.551500 38.856830 13.779060 0.000141
84.740040 38.856640 13.778610 0.000167
91.196630 38.856410 13.778090 0.000185
97.928730 38.856170 13.777520 0.000213
104.944000 38.855900 13.776910 0.000247
112.250200 38.855610 13.776200 0.000267
119.855400 38.855280 13.775440 0.000283
127.767800 38.854920 13.774570 0.000281
135.995800 38.854520 13.773580 0.000284
144.547900 38.854100 13.772540 0.000290
153.432800 38.853650 13.771440 0.000300
162.659600 38.853170 13.770280 0.000302
172.237400 38.852670 13.769060 0.000296
182.175400 38.852150 13.767790 0.000292
192.483100 38.851600 13.766460 0.000288
203.170400 38.851020 13.765010 0.000287
214.247200 38.850210 13.762800 0.000288
225.723400 38.849490 13.760910 0.000285
237.609500 38.848770 13.759060 0.000285
249.915800 38.848070 13.757290 0.000278
262.653200 38.847370 13.755570 0.000268
275.832500 38.846660 13.753820 0.000262
289.464800 38.845940 13.752050 0.000255
303.561300 38.845200 13.750200 0.000250
318.133500 38.844390 13.748130 0.000250
333.193100 38.843470 13.745680 0.000243
348.752000 38.842660 13.743620 0.000237
364.822000 38.841850 13.741580 0.000238
381.415400 38.841020 13.739510 0.000228
398.544700 38.840180 13.737340 0.000236
416.222300 38.839000 13.734050 0.000249
434.461100 38.838130 13.731800 0.000249
453.273800 38.836010 13.725140 0.000248
472.673500 38.834300 13.719910 0.000238
492.673500 38.832680 13.715020 0.000234
513.287000 38.831560 13.711920 0.000229
534.527600 38.830270 13.708190 0.000225
556.408900 38.829210 13.705300 0.000211
578.944600 38.828210 13.702540 0.000196
602.148600 38.827160 13.699600 0.000184
626.034900 38.826140 13.696720 0.000174
650.617600 38.825110 13.693820 0.000166
675.910700 38.824080 13.690890 0.000154
701.928600 38.823060 13.687970 0.000162
728.685600 38.822040 13.685060 0.000169
756.196000 38.821050 13.682190 0.000158
784.474300 38.820040 13.679230 0.000161
813.534900 38.819010 13.676240 0.000179
843.392200 38.817990 13.673230 0.000186
874.060700 38.816980 13.670240 0.000173
905.554800 38.816050 13.667450 0.000178
937.889100 38.815190 13.664900 0.000190
971.077900 38.814370 13.662460 0.000185
1005.135000 38.813560 13.660030 0.000198
1040.076000 38.812810 13.657770 0.000213
1075.914000 38.812080 13.655550 0.000211
1112.664000 38.811390 13.653450 0.000211
1150.338000 38.810750 13.651470 0.000209
1188.952000 38.810150 13.649590 0.000204
1228.519000 38.809520 13.647580 0.000205
1269.052000 38.808640 13.644700 0.000208
1310.564000 38.807640 13.641410 0.000197
1353.069000 38.806910 13.638990 0.000178
1396.580000 38.806250 13.636740 0.000154
1441.109000 38.805680 13.634720 0.000116
1486.668000 38.805150 13.632760 0.000075
1533.269000 38.804790 13.631360 0.000073
1580.925000 38.804470 13.629940 0.000118
1629.647000 38.804260 13.628860 0.000127
1679.445000 38.804060 13.627760 0.000130
1730.330000 38.803700 13.626080 0.000122
1782.314000 38.802990 13.623280 0.000179
1835.405000 38.803550 13.624290 0.000230
1889.613000 38.804360 13.626080 0.000230
1944.947000 38.805030 13.627460 0.000224
2001.417000 38.805690 13.628800 0.000225
2059.029000 38.806350 13.630210 0.000229
2117.792000 38.807010 13.631630 0.000232
2177.714000 38.807720 13.633200 0.000229
2238.800000 38.808460 13.634950 0.000225
2301.058000 38.809220 13.636770 0.000226
2364.492000 38.809950 13.638490 0.000221
2429.108000 38.810590 13.640010 0.000215
2494.910000 38.811180 13.641360 0.000211
2561.903000 38.811720 13.642550 0.000203
2630.090000 38.812190 13.643560 0.000197
2699.474000 38.812620 13.644450 0.000194
2770.057000 38.813010 13.645230 0.000186
2841.841000 38.813350 13.645900 0.000176
2914.827000 38.813630 13.646400 0.000168
2989.016000 38.813830 13.646730 0.000158
3064.407000 38.813990 13.646980 0.000150
3141.001000 38.814140 13.647170 0.000144
3218.796000 38.814250 13.647250 0.000134
3297.790000 38.814280 13.647210 0.000119
3377.981000 38.814280 13.647110 0.000117
3459.366000 38.814330 13.647110 0.000129
3541.942000 38.814460 13.647230 0.000134
3625.704000 38.814590 13.647360 0.000128
3710.647000 38.814690 13.647460 0.000112
3796.768000 38.814700 13.647450 0.000098
3884.060000 38.814690 13.647400 0.000121
3972.516000 38.814920 13.647730 0.000142
