Depth Salinity Temperature N
1.018237 38.808380 13.656700 0.000905
3.165747 38.808330 13.655650 0.000969
5.464963 38.808250 13.654150 0.001025
7.920377 38.808190 13.652680 0.001013
10.536600 38.808160 13.651260 0.000997
13.318380 38.808140 13.649860 0.000998
16.270590 38.808140 13.648370 0.001031
19.398210 38.808130 13.646640 0.000969
22.706390 38.807990 13.644910 0.000781
26.200400 38.807820 13.643560 0.000606
29.885640 38.807640 13.642420 0.000507
33.767670 38.807490 13.641590 0.000453
37.852190 38.807370 13.640940 0.000403
42.145040 38.807240 13.640380 0.000385
46.652210 38.807120 13.639860 0.000354
51.379860 38.806870 13.638960 0.000279
56.334290 38.806690 13.638240 0.000203
61.521960 38.806570 13.637850 0.000115
66.949490 38.806520 13.637740 0.000133
72.623690 38.806500 13.637690 0.000155
78.551500 38.806450 13.637580 0.000180
84.740040 38.806360 13.637300 0.000201
91.196630 38.806260 13.637010 0.000186
97.928730 38.806070 13.636410 0.000161
104.944000 38.805880 13.635810 0.000106
112.250200 38.805710 13.635300 0.000064
119.855400 38.805560 13.634860 0.000090
127.767800 38.805120 13.633350 0.000064
135.995800 38.803420 13.627340 0.000094
144.547900 38.801930 13.621990 0.000161
153.432800 38.801660 13.621020 0.000158
162.659600 38.801460 13.620360 0.000113
172.237400 38.801300 13.619910 0.000052
182.175400 38.801180 13.619670 0.000015
192.483100 38.801110 13.619630 0.000036
203.170400 38.801030 13.619580 0.000035
214.247200 38.800950 13.619530 0.000037
225.723400 38.800870 13.619480 0.000057
237.609500 38.800770 13.619430 0.000074
249.915800 38.800670 13.619350 0.000053
262.653200 38.800560 13.619240 0.000057
275.832500 38.800430 13.619140 0.000070
289.464800 38.800290 13.618930 0.000109
303.561300 38.800130 13.618650 0.000123
318.133500 38.799920 13.618160 0.000126
333.193100 38.799680 13.617600 0.000121
348.752000 38.799430 13.617000 0.000112
364.822000 38.799160 13.616390 0.000111
381.415400 38.798920 13.615850 0.000112
398.544700 38.798680 13.615370 0.000074
416.222300 38.798450 13.614920 0.000038
434.461100 38.798220 13.614490 0.000054
453.273800 38.798010 13.614120 0.000046
472.673500 38.797810 13.613810 0.000015
492.673500 38.797590 13.613390 0.000022
513.287000 38.797360 13.612970 0.000031
534.527600 38.797130 13.612530 0.000037
556.408900 38.796880 13.611990 0.000053
578.944600 38.796660 13.611580 0.000057
602.148600 38.796440 13.611160 0.000064
626.034900 38.796220 13.610760 0.000078
650.617600 38.796010 13.610360 0.000096
675.910700 38.795810 13.609980 0.000105
701.928600 38.795610 13.609590 0.000082
728.685600 38.795410 13.609220 0.000049
756.196000 38.795230 13.608870 0.000065
784.474300 38.795050 13.608510 0.000066
813.534900 38.794880 13.608170 0.000038
843.392200 38.794700 13.607770 0.000085
874.060700 38.794500 13.607320 0.000081
905.554800 38.794290 13.606800 0.000095
937.889100 38.794110 13.606330 0.000115
971.077900 38.793930 13.605840 0.000111
1005.135000 38.793780 13.605440 0.000141
1040.076000 38.793640 13.605090 0.000165
1075.914000 38.793540 13.604810 0.000153
1112.664000 38.793470 13.604530 0.000143
1150.338000 38.793450 13.604340 0.000138
1188.952000 38.793470 13.604230 0.000130
1228.519000 38.793540 13.604270 0.000118
1269.052000 38.793670 13.604420 0.000108
1310.564000 38.793840 13.604710 0.000085
1353.069000 38.794080 13.605150 0.000022
1396.580000 38.794390 13.605750 0.000075
1441.109000 38.794760 13.606530 0.000121
1486.668000 38.795190 13.607400 0.000154
1533.269000 38.795680 13.608390 0.000183
1580.925000 38.796260 13.609610 0.000194
1629.647000 38.796810 13.610790 0.000187
1679.445000 38.797360 13.611990 0.000180
1730.330000 38.797890 13.613180 0.000178
1782.314000 38.798420 13.614370 0.000194
1835.405000 38.798970 13.615570 0.000205
1889.613000 38.799540 13.616840 0.000205
1944.947000 38.800130 13.618170 0.000207
2001.417000 38.800760 13.619560 0.000215
2059.029000 38.801400 13.620980 0.000225
2117.792000 38.802050 13.622390 0.000232
2177.714000 38.802730 13.623820 0.000240
2238.800000 38.803480 13.625330 0.000251
2301.058000 38.804340 13.627040 0.000260
2364.492000 38.805190 13.628650 0.000260
2429.108000 38.805990 13.630100 0.000260
2494.910000 38.806810 13.631540 0.000259
2561.903000 38.807690 13.633230 0.000252
2630.090000 38.808210 13.633680 0.000208
2699.474000 38.808140 13.633200 0.000159
