Depth Salinity Temperature N
1.018237 38.927900 14.296290 0.000089
3.165747 38.927880 14.296220 0.000518
5.464963 38.927460 14.294120 0.001250
7.920377 38.924700 14.281350 0.002113
10.536600 38.920620 14.259000 0.002971
13.318380 38.914390 14.221970 0.003656
16.270590 38.905870 14.170090 0.004090
19.398210 38.895030 14.104710 0.004292
22.706390 38.882450 14.030210 0.004140
26.200400 38.871250 13.964480 0.003548
29.885640 38.863290 13.918940 0.002800
33.767670 38.856720 13.884440 0.002134
37.852190 38.851840 13.861010 0.001582
42.145040 38.847640 13.842250 0.001285
46.652210 38.842730 13.821830 0.001051
51.379860 38.839920 13.810160 0.000774
56.334290 38.837840 13.801810 0.000570
61.521960 38.836410 13.796150 0.000454
66.949490 38.835320 13.791890 0.000360
72.623690 38.834350 13.788250 0.000308
78.551500 38.833590 13.785370 0.000322
84.740040 38.832820 13.782450 0.000334
91.196630 38.832190 13.780020 0.000308
97.928730 38.831750 13.778380 0.000253
104.944000 38.831550 13.777640 0.000203
112.250200 38.831410 13.777140 0.000180
119.855400 38.831380 13.777030 0.000182
127.767800 38.831370 13.776990 0.000178
135.995800 38.831340 13.776890 0.000184
144.547900 38.831270 13.776610 0.000189
153.432800 38.830890 13.775240 0.000189
162.659600 38.830740 13.774680 0.000197
172.237400 38.830700 13.774510 0.000196
182.175400 38.830670 13.774410 0.000202
192.483100 38.830670 13.774400 0.000213
203.170400 38.830670 13.774380 0.000208
214.247200 38.830660 13.774370 0.000200
225.723400 38.830650 13.774360 0.000208
237.609500 38.830650 13.774350 0.000217
249.915800 38.830650 13.774330 0.000226
262.653200 38.828360 13.766100 0.000248
275.832500 38.824700 13.752850 0.000267
289.464800 38.820130 13.736290 0.000282
303.561300 38.815930 13.720950 0.000300
318.133500 38.811850 13.705980 0.000292
333.193100 38.807900 13.691570 0.000265
348.752000 38.805500 13.682860 0.000255
364.822000 38.804030 13.677460 0.000277
381.415400 38.801110 13.666670 0.000317
398.544700 38.800060 13.662380 0.000342
416.222300 38.799390 13.659330 0.000342
434.461100 38.799050 13.657430 0.000342
453.273800 38.798900 13.656180 0.000347
472.673500 38.798880 13.655330 0.000348
492.673500 38.798860 13.654480 0.000347
513.287000 38.798780 13.653370 0.000328
534.527600 38.798580 13.652050 0.000306
556.408900 38.798360 13.650660 0.000286
578.944600 38.798010 13.649030 0.000250
602.148600 38.797130 13.645650 0.000225
626.034900 38.795910 13.641140 0.000212
650.617600 38.794150 13.634710 0.000218
675.910700 38.792210 13.627520 0.000256
701.928600 38.790440 13.620580 0.000284
728.685600 38.788790 13.613910 0.000288
756.196000 38.787380 13.608010 0.000292
784.474300 38.786380 13.603560 0.000288
813.534900 38.785770 13.600540 0.000260
843.392200 38.785420 13.598610 0.000244
874.060700 38.785250 13.597200 0.000253
905.554800 38.785200 13.596180 0.000246
937.889100 38.785050 13.594710 0.000240
971.077900 38.784920 13.593230 0.000245
1005.135000 38.784860 13.591940 0.000242
1040.076000 38.784950 13.590970 0.000239
1075.914000 38.785190 13.590450 0.000243
1112.664000 38.785550 13.590260 0.000237
1150.338000 38.786030 13.590550 0.000228
1188.952000 38.786640 13.591250 0.000227
1228.519000 38.787360 13.592350 0.000221
1269.052000 38.788170 13.593800 0.000211
1310.564000 38.789030 13.595500 0.000209
1353.069000 38.789990 13.597540 0.000215
1396.580000 38.791000 13.599720 0.000221
1441.109000 38.792030 13.601990 0.000227
1486.668000 38.793050 13.604280 0.000229
1533.269000 38.794050 13.606540 0.000235
1580.925000 38.795010 13.608710 0.000238
1629.647000 38.795940 13.610800 0.000234
1679.445000 38.796850 13.612820 0.000231
1730.330000 38.797740 13.614780 0.000229
1782.314000 38.798600 13.616660 0.000237
1835.405000 38.799450 13.618490 0.000242
1889.613000 38.800280 13.620290 0.000239
1944.947000 38.801100 13.622040 0.000237
2001.417000 38.801900 13.623730 0.000240
2059.029000 38.802680 13.625350 0.000246
2117.792000 38.803440 13.626900 0.000249
2177.714000 38.804210 13.628420 0.000250
2238.800000 38.804970 13.629920 0.000251
2301.058000 38.805760 13.631420 0.000256
2364.492000 38.806550 13.632890 0.000260
2429.108000 38.807360 13.634320 0.000262
2494.910000 38.808160 13.635690 0.000252
2561.903000 38.808800 13.636770 0.000219
2630.090000 38.809130 13.637330 0.000194
