Date	MLD_34.56N_26.29E	MLD_34.48N_26.17E	MLD_34.56N_26.29E
1987-01-01	74.91	83.89	74.91
1987-01-02	73.51	81.68	73.51
1987-01-03	59.09	84.25	59.09
1987-01-04	42.39	86.04	42.39
1987-01-05	67.30	82.69	67.30
1987-01-06	121.49	84.23	121.49
1987-01-07	131.81	56.33	131.81
1987-01-08	131.82	24.91	131.82
1987-01-09	131.82	78.85	131.82
1987-01-10	131.81	56.71	131.81
1987-01-11	137.03	58.57	137.03
1987-01-12	99.15	129.30	99.15
1987-01-13	70.56	91.15	70.56
1987-01-14	47.45	121.32	47.45
1987-01-15	37.56	77.48	37.56
1987-01-16	32.73	23.27	32.73
1987-01-17	38.93	17.23	38.93
1987-01-18	27.81	24.48	27.81
1987-01-19	57.75	71.12	57.75
1987-01-20	66.36	58.62	66.36
1987-01-21	68.58	47.34	68.58
1987-01-22	78.58	69.42	78.58
1987-01-23	89.34	68.93	89.34
1987-01-24	76.25	56.68	76.25
1987-01-25	93.42	74.47	93.42
1987-01-26	93.12	94.13	93.12
1987-01-27	101.59	101.12	101.59
1987-01-28	53.65	99.33	53.65
1987-01-29	45.82	84.25	45.82
1987-01-30	96.47	99.09	96.47
1987-01-31	66.75	81.09	66.75
1987-02-01	55.32	56.37	55.32
1987-02-02	54.66	56.55	54.66
1987-02-03	84.45	88.79	84.45
1987-02-04	112.39	98.88	112.39
1987-02-05	121.73	97.56	121.73
1987-02-06	128.18	116.20	128.18
1987-02-07	128.42	120.36	128.42
1987-02-08	132.14	149.29	132.14
1987-02-09	144.63	160.70	144.63
1987-02-10	150.61	161.27	150.61
1987-02-11	159.46	167.36	159.46
1987-02-12	155.41	166.39	155.41
1987-02-13	162.63	166.13	162.63
1987-02-14	125.07	139.13	125.07
1987-02-15	134.26	129.59	134.26
1987-02-16	150.11	143.28	150.11
1987-02-17	147.28	141.81	147.28
1987-02-18	162.52	151.70	162.52
1987-02-19	158.17	146.00	158.17
1987-02-20	92.62	91.96	92.62
1987-02-21	62.29	64.09	62.29
1987-02-22	66.50	63.43	66.50
1987-02-23	54.87	54.14	54.87
1987-02-24	127.39	113.17	127.39
1987-02-25	133.51	95.36	133.51
1987-02-26	93.63	57.65	93.63
1987-02-27	71.02	38.15	71.02
1987-02-28	55.93	59.70	55.93
1987-03-01	55.76	41.22	55.76
1987-03-02	46.28	69.28	46.28
1987-03-03	41.36	76.52	41.36
1987-03-04	63.90	87.31	63.90
1987-03-05	87.21	90.05	87.21
1987-03-06	103.97	115.59	103.97
1987-03-07	109.90	110.26	109.90
1987-03-08	76.82	70.53	76.82
1987-03-09	321.25	150.74	321.25
1987-03-10	336.32	181.87	336.32
1987-03-11	267.91	165.13	267.91
1987-03-12	211.35	185.65	211.35
1987-03-13	191.61	193.76	191.61
1987-03-14	189.64	172.33	189.64
1987-03-15	144.79	48.49	144.79
1987-03-16	126.66	64.13	126.66
1987-03-17	110.48	45.20	110.48
1987-03-18	96.76	41.01	96.76
1987-03-19	87.57	54.94	87.57
1987-03-20	56.87	38.60	56.87
1987-03-21	42.40	41.82	42.40
1987-03-22	37.93	30.36	37.93
1987-03-23	44.67	31.45	44.67
1987-03-24	48.63	57.72	48.63
1987-03-25	72.53	78.68	72.53
1987-03-26	66.71	68.68	66.71
1987-03-27	67.77	62.63	67.77
1987-03-28	20.20	25.71	20.20
1987-03-29	17.67	19.44	17.67
1987-03-30	14.06	13.38	14.06
1987-03-31	19.11	16.58	19.11
1987-04-01	24.66	24.29	24.66
1987-04-02	38.36	40.41	38.36
1987-04-03	39.03	43.89	39.03
1987-04-04	47.10	45.82	47.10
1987-04-05	38.11	32.00	38.11
1987-04-06	13.77	13.51	13.77
1987-04-07	14.77	15.78	14.77
1987-04-08	13.23	13.78	13.23
1987-04-09	18.66	19.00	18.66
1987-04-10	13.16	15.25	13.16
1987-04-11	16.35	16.79	16.35
1987-04-12	23.70	28.47	23.70
1987-04-13	25.64	27.01	25.64
1987-04-14	32.31	32.59	32.31
1987-04-15	23.86	23.43	23.86
1987-04-16	37.48	34.25	37.48
1987-04-17	45.38	44.83	45.38
1987-04-18	38.95	33.49	38.95
1987-04-19	36.16	31.34	36.16
1987-04-20	15.71	14.53	15.71
1987-04-21	13.90	13.73	13.90
1987-04-22	11.93	12.10	11.93
1987-04-23	14.74	15.75	14.74
1987-04-24	22.92	29.54	22.92
1987-04-25	39.15	40.14	39.15
1987-04-26	36.96	36.67	36.96
1987-04-27	18.56	20.26	18.56
1987-04-28	18.09	16.26	18.09
1987-04-29	20.27	19.47	20.27
1987-04-30	43.94	39.49	43.94
1987-05-01	41.68	38.21	41.68
1987-05-02	37.20	36.57	37.20
1987-05-03	24.13	23.81	24.13
1987-05-04	17.60	16.49	17.60
1987-05-05	17.69	17.99	17.69
1987-05-06	18.79	17.73	18.79
1987-05-07	13.39	13.03	13.39
1987-05-08	17.54	17.08	17.54
1987-05-09	17.72	18.67	17.72
1987-05-10	21.57	20.84	21.57
1987-05-11	25.95	22.25	25.95
1987-05-12	14.69	14.60	14.69
1987-05-13	17.51	14.79	17.51
1987-05-14	16.71	14.96	16.71
1987-05-15	15.81	14.56	15.81
1987-05-16	13.02	13.07	13.02
1987-05-17	11.90	11.90	11.90
1987-05-18	11.90	11.90	11.90
1987-05-19	11.90	11.90	11.90
1987-05-20	11.90	11.90	11.90
1987-05-21	11.90	11.90	11.90
1987-05-22	12.20	12.48	12.20
1987-05-23	11.90	13.66	11.90
1987-05-24	11.90	13.29	11.90
1987-05-25	11.90	12.74	11.90
1987-05-26	11.90	11.90	11.90
1987-05-27	12.29	12.01	12.29
1987-05-28	15.86	14.77	15.86
1987-05-29	16.36	12.62	16.36
1987-05-30	15.61	11.90	15.61
1987-05-31	12.06	11.90	12.06
1987-06-01	11.90	11.90	11.90
1987-06-02	11.90	12.81	11.90
1987-06-03	13.98	12.60	13.98
1987-06-04	11.90	11.90	11.90
1987-06-05	11.90	11.90	11.90
1987-06-06	11.90	11.90	11.90
1987-06-07	11.90	11.90	11.90
1987-06-08	11.90	11.90	11.90
1987-06-09	14.94	11.90	14.94
1987-06-10	16.51	11.90	16.51
1987-06-11	12.24	11.90	12.24
1987-06-12	12.26	11.90	12.26
1987-06-13	15.10	13.75	15.10
1987-06-14	19.38	18.29	19.38
1987-06-15	18.82	19.52	18.82
1987-06-16	16.11	14.70	16.11
1987-06-17	13.47	14.77	13.47
1987-06-18	12.72	12.50	12.72
1987-06-19	11.90	11.90	11.90
1987-06-20	11.90	11.90	11.90
1987-06-21	11.90	11.90	11.90
