Depth(m)	Salinity(psu)
1.018237	38.864525
3.165747	38.864285
5.464963	38.864044
7.920377	38.863926
10.536604	38.863853
13.318384	38.863613
16.270586	38.863392
19.398211	38.863350
22.706392	38.863129
26.200399	38.863094
29.885643	38.862873
33.767673	38.862652
37.852192	38.862614
42.145039	38.862362
46.652210	38.862247
51.379860	38.861958
56.334286	38.861736
61.521957	38.861683
66.949493	38.861431
72.623688	38.861176
78.551498	38.860920
84.740044	38.860668
91.196632	38.860447
97.928726	38.860336
104.943977	38.860218
112.250206	38.860088
119.855431	38.859947
127.767838	38.859795
135.995804	38.859634
144.547897	38.859463
153.432846	38.859276
162.659622	38.859081
172.237350	38.858875
182.175354	38.858658
192.483139	38.858437
203.170441	38.858208
214.247162	38.857971
225.723404	38.857731
237.609467	38.857483
249.915848	38.857231
262.653229	38.856964
275.832520	38.856689
289.464783	38.856400
303.561310	38.856125
318.133545	38.855862
333.193146	38.855595
348.751953	38.855324
364.821960	38.855057
381.415436	38.854725
398.544708	38.854397
416.222321	38.854103
434.461060	38.853840
453.273773	38.853580
472.673492	38.853310
492.673462	38.853046
513.286987	38.852814
534.527588	38.852581
556.408875	38.852325
578.944580	38.852074
602.148621	38.851841
626.034912	38.851601
650.617554	38.851345
675.910706	38.851089
701.928650	38.850842
728.685608	38.850574
756.196045	38.850300
784.474304	38.850021
813.534851	38.849735
843.392151	38.849422
874.060669	38.849087
905.554810	38.848743
937.889099	38.848377
971.077881	38.848064
1005.135498	38.847778
1040.076294	38.847523
1075.914307	38.847267
1112.663696	38.846889
1150.338379	38.846436
1188.952148	38.846004
1228.518799	38.845577
1269.051758	38.845184
1310.564209	38.844738
1353.069336	38.844177
1396.579956	38.843483
1441.108643	38.842659
1486.667847	38.841705
1533.269409	38.840794
1580.925171	38.839890
1629.646606	38.839035
1679.444824	38.838215
1730.330322	38.837444
1782.313599	38.836678
1835.404541	38.835907
1889.612671	38.835110
1944.947144	38.834362
2001.416626	38.833706
2059.029053	38.833118
2117.792480	38.832363
2177.714111	38.831974
2238.800293	38.831715
2301.057617	38.831821
2364.491699	38.831928
2429.107666	38.832020
2494.910156	38.832081
2561.903076	38.832111
2630.089844	38.832085
2699.473633	38.832027
2770.056641	38.831921
2841.840820	38.831688
2914.826904	38.831562
2989.015869	38.831463
3064.407471	38.831284
3141.001465	38.831177
3218.796143	38.830956
3297.790283	38.830654
3377.981445	38.830227
3459.366211	38.830166
3541.941895	38.830070
3625.703857	38.829994
3710.647461	38.830029
3796.768066	38.829880
3884.059570	38.829475
3972.516113	38.827557
4062.130371	NaN
4152.895996	NaN
4244.804199	NaN
4337.847656	NaN
4432.017578	NaN
4527.304199	NaN
4623.698730	NaN
4721.191406	NaN
4819.770996	NaN
4919.427246	NaN
5020.149414	NaN
5121.925781	NaN
5224.744629	NaN
5328.593750	NaN
5433.460938	NaN
5539.333496	NaN
5646.199219	NaN
5754.043945	NaN
