Depth(m)	Salinity(psu)
1.018237	38.855877
3.165747	38.855873
5.464963	38.855873
7.920377	38.855873
10.536604	38.855873
13.318384	38.855869
16.270586	38.855869
19.398211	38.855869
22.706392	38.855869
26.200399	38.855865
29.885643	38.855865
33.767673	38.855862
37.852192	38.855862
42.145039	38.855862
46.652210	38.855858
51.379860	38.855858
56.334286	38.855854
61.521957	38.855850
66.949493	38.855850
72.623688	38.855843
78.551498	38.855839
84.740044	38.855835
91.196632	38.855831
97.928726	38.855831
104.943977	38.855827
112.250206	38.855820
119.855431	38.855816
127.767838	38.855812
135.995804	38.855808
144.547897	38.855801
153.432846	38.855797
162.659622	38.855789
172.237350	38.855782
182.175354	38.855774
192.483139	38.855766
203.170441	38.855759
214.247162	38.855751
225.723404	38.855743
237.609467	38.855732
249.915848	38.855721
262.653229	38.855709
275.832520	38.855698
289.464783	38.855686
303.561310	38.855675
318.133545	38.855659
333.193146	38.855644
348.751953	38.855629
364.821960	38.855610
381.415436	38.855595
398.544708	38.855576
416.222321	38.855556
434.461060	38.855534
453.273773	38.855515
472.673492	38.855492
492.673462	38.855465
513.286987	38.855442
534.527588	38.855415
556.408875	38.855389
578.944580	38.855362
602.148621	38.855331
626.034912	38.855305
650.617554	38.855274
675.910706	38.855244
701.928650	38.855213
728.685608	38.855183
756.196045	38.855152
784.474304	38.855122
813.534851	38.855091
843.392151	38.855061
874.060669	38.855030
905.554810	38.854996
937.889099	38.854965
971.077881	38.854931
1005.135498	38.854900
1040.076294	38.854866
1075.914307	38.854836
1112.663696	38.854805
1150.338379	38.854774
1188.952148	38.854504
1228.518799	38.854343
1269.051758	38.854252
1310.564209	38.854065
1353.069336	38.853928
1396.579956	38.853230
1441.108643	38.852505
1486.667847	38.851532
1533.269409	38.850975
1580.925171	38.850864
1629.646606	38.850773
1679.444824	38.850716
1730.330322	38.851017
1782.313599	38.851372
1835.404541	38.851337
1889.612671	38.851055
1944.947144	38.850555
2001.416626	38.849785
2059.029053	38.848404
2117.792480	38.847275
2177.714111	38.846050
2238.800293	38.844254
2301.057617	38.842354
2364.491699	38.840141
2429.107666	38.837132
2494.910156	38.832760
2561.903076	38.827255
2630.089844	38.821152
2699.473633	38.815514
2770.056641	38.810226
2841.840820	38.805851
2914.826904	38.802475
2989.015869	38.800282
3064.407471	38.799400
3141.001465	38.799358
3218.796143	38.799526
3297.790283	38.799820
3377.981445	38.800102
3459.366211	38.800304
3541.941895	38.800404
3625.703857	38.800571
3710.647461	38.800716
3796.768066	38.800724
3884.059570	38.800884
3972.516113	38.801048
4062.130371	NaN
4152.895996	NaN
4244.804199	NaN
4337.847656	NaN
4432.017578	NaN
4527.304199	NaN
4623.698730	NaN
4721.191406	NaN
4819.770996	NaN
4919.427246	NaN
5020.149414	NaN
5121.925781	NaN
5224.744629	NaN
5328.593750	NaN
5433.460938	NaN
5539.333496	NaN
5646.199219	NaN
5754.043945	NaN
