Depth(m)	Salinity(psu)
1.018237	38.863991
3.165747	38.863953
5.464963	38.863884
7.920377	38.863804
10.536604	38.863701
13.318384	38.863583
16.270586	38.863392
19.398211	38.863037
22.706392	38.862209
26.200399	38.861176
29.885643	38.860073
33.767673	38.859119
37.852192	38.858387
42.145039	38.857864
46.652210	38.857552
51.379860	38.857449
56.334286	38.857357
61.521957	38.857254
66.949493	38.857132
72.623688	38.856995
78.551498	38.856827
84.740044	38.856636
91.196632	38.856415
97.928726	38.856171
104.943977	38.855904
112.250206	38.855610
119.855431	38.855282
127.767838	38.854919
135.995804	38.854523
144.547897	38.854103
153.432846	38.853649
162.659622	38.853172
172.237350	38.852673
182.175354	38.852146
192.483139	38.851601
203.170441	38.851017
214.247162	38.850212
225.723404	38.849491
237.609467	38.848774
249.915848	38.848068
262.653229	38.847370
275.832520	38.846661
289.464783	38.845943
303.561310	38.845196
318.133545	38.844387
333.193146	38.843468
348.751953	38.842655
364.821960	38.841846
381.415436	38.841022
398.544708	38.840176
416.222321	38.839005
434.461060	38.838131
453.273773	38.836014
472.673492	38.834301
492.673462	38.832676
513.286987	38.831562
534.527588	38.830265
556.408875	38.829212
578.944580	38.828209
602.148621	38.827164
626.034912	38.826138
650.617554	38.825108
675.910706	38.824078
701.928650	38.823059
728.685608	38.822044
756.196045	38.821053
784.474304	38.820042
813.534851	38.819012
843.392151	38.817986
874.060669	38.816982
905.554810	38.816051
937.889099	38.815193
971.077881	38.814373
1005.135498	38.813560
1040.076294	38.812809
1075.914307	38.812077
1112.663696	38.811390
1150.338379	38.810753
1188.952148	38.810150
1228.518799	38.809521
1269.051758	38.808636
1310.564209	38.807636
1353.069336	38.806911
1396.579956	38.806252
1441.108643	38.805683
1486.667847	38.805145
1533.269409	38.804790
1580.925171	38.804466
1629.646606	38.804256
1679.444824	38.804062
1730.330322	38.803696
1782.313599	38.802994
1835.404541	38.803555
1889.612671	38.804356
1944.947144	38.805027
2001.416626	38.805687
2059.029053	38.806351
2117.792480	38.807014
2177.714111	38.807720
2238.800293	38.808460
2301.057617	38.809223
2364.491699	38.809948
2429.107666	38.810593
2494.910156	38.811184
2561.903076	38.811722
2630.089844	38.812195
2699.473633	38.812622
2770.056641	38.813011
2841.840820	38.813354
2914.826904	38.813625
2989.015869	38.813828
3064.407471	38.813992
3141.001465	38.814140
3218.796143	38.814255
3297.790283	38.814278
3377.981445	38.814281
3459.366211	38.814331
3541.941895	38.814465
3625.703857	38.814590
3710.647461	38.814690
3796.768066	38.814697
3884.059570	38.814693
3972.516113	38.814922
4062.130371	NaN
4152.895996	NaN
4244.804199	NaN
4337.847656	NaN
4432.017578	NaN
4527.304199	NaN
4623.698730	NaN
4721.191406	NaN
4819.770996	NaN
4919.427246	NaN
5020.149414	NaN
5121.925781	NaN
5224.744629	NaN
5328.593750	NaN
5433.460938	NaN
5539.333496	NaN
5646.199219	NaN
5754.043945	NaN
