Depth(m)	Temperature(°C)
1.018237	13.776863
3.165747	13.772908
5.464963	13.769497
7.920377	13.767652
10.536604	13.766520
13.318384	13.765490
16.270586	13.764749
19.398211	13.764459
22.706392	13.763848
26.200399	13.763705
29.885643	13.763162
33.767673	13.762633
37.852192	13.762524
42.145039	13.761915
46.652210	13.761545
51.379860	13.760772
56.334286	13.760298
61.521957	13.760195
66.949493	13.759643
72.623688	13.759060
78.551498	13.758459
84.740044	13.757881
91.196632	13.757407
97.928726	13.757209
104.943977	13.757015
112.250206	13.756816
119.855431	13.756609
127.767838	13.756406
135.995804	13.756204
144.547897	13.756007
153.432846	13.755788
162.659622	13.755566
172.237350	13.755340
182.175354	13.755128
192.483139	13.754926
203.170441	13.754749
214.247162	13.754597
225.723404	13.754467
237.609467	13.754354
249.915848	13.754263
262.653229	13.754174
275.832520	13.754073
289.464783	13.753964
303.561310	13.753932
318.133545	13.753969
333.193146	13.754039
348.751953	13.754111
364.821960	13.754223
381.415436	13.754113
398.544708	13.754004
416.222321	13.753963
434.461060	13.754008
453.273773	13.754115
472.673492	13.754250
492.673462	13.754406
513.286987	13.754626
534.527588	13.754859
556.408875	13.755065
578.944580	13.755289
602.148621	13.755552
626.034912	13.755803
650.617554	13.756010
675.910706	13.756225
701.928650	13.756436
728.685608	13.756587
756.196045	13.756720
784.474304	13.756821
813.534851	13.756878
843.392151	13.756849
874.060669	13.756733
905.554810	13.756548
937.889099	13.756249
971.077881	13.756045
1005.135498	13.755950
1040.076294	13.755926
1075.914307	13.755845
1112.663696	13.755364
1150.338379	13.754630
1188.952148	13.753961
1228.518799	13.753291
1269.051758	13.752693
1310.564209	13.751883
1353.069336	13.750667
1396.579956	13.748973
1441.108643	13.746799
1486.667847	13.744174
1533.269409	13.741638
1580.925171	13.739088
1629.646606	13.736616
1679.444824	13.734196
1730.330322	13.731865
1782.313599	13.729513
1835.404541	13.727082
1889.612671	13.724499
1944.947144	13.721965
2001.416626	13.719675
2059.029053	13.717553
2117.792480	13.714845
2177.714111	13.713275
2238.800293	13.712042
2301.057617	13.711873
2364.491699	13.711718
2429.107666	13.711507
2494.910156	13.711189
2561.903076	13.710745
2630.089844	13.710114
2699.473633	13.709384
2770.056641	13.708466
2841.840820	13.707109
2914.826904	13.705992
2989.015869	13.704865
3064.407471	13.703463
3141.001465	13.702152
3218.796143	13.700341
3297.790283	13.698202
3377.981445	13.695923
3459.366211	13.695061
3541.941895	13.694188
3625.703857	13.693326
3710.647461	13.692817
3796.768066	13.691880
3884.059570	13.690321
3972.516113	13.684080
4062.130371	NaN
4152.895996	NaN
4244.804199	NaN
4337.847656	NaN
4432.017578	NaN
4527.304199	NaN
4623.698730	NaN
4721.191406	NaN
4819.770996	NaN
4919.427246	NaN
5020.149414	NaN
5121.925781	NaN
5224.744629	NaN
5328.593750	NaN
5433.460938	NaN
5539.333496	NaN
5646.199219	NaN
5754.043945	NaN
