Depth(m)	Temperature(°C)
1.018237	13.800097
3.165747	13.800109
5.464963	13.800121
7.920377	13.800134
10.536604	13.800146
13.318384	13.800159
16.270586	13.800173
19.398211	13.800186
22.706392	13.800200
26.200399	13.800216
29.885643	13.800230
33.767673	13.800246
37.852192	13.800261
42.145039	13.800278
46.652210	13.800294
51.379860	13.800311
56.334286	13.800328
61.521957	13.800345
66.949493	13.800363
72.623688	13.800371
78.551498	13.800386
84.740044	13.800405
91.196632	13.800424
97.928726	13.800443
104.943977	13.800462
112.250206	13.800481
119.855431	13.800500
127.767838	13.800519
135.995804	13.800538
144.547897	13.800557
153.432846	13.800576
162.659622	13.800594
172.237350	13.800612
182.175354	13.800630
192.483139	13.800646
203.170441	13.800662
214.247162	13.800676
225.723404	13.800691
237.609467	13.800703
249.915848	13.800714
262.653229	13.800724
275.832520	13.800733
289.464783	13.800738
303.561310	13.800743
318.133545	13.800745
333.193146	13.800744
348.751953	13.800741
364.821960	13.800735
381.415436	13.800726
398.544708	13.800714
416.222321	13.800698
434.461060	13.800679
453.273773	13.800655
472.673492	13.800628
492.673462	13.800596
513.286987	13.800561
534.527588	13.800522
556.408875	13.800479
578.944580	13.800434
602.148621	13.800385
626.034912	13.800333
650.617554	13.800280
675.910706	13.800223
701.928650	13.800165
728.685608	13.800105
756.196045	13.800045
784.474304	13.799983
813.534851	13.799921
843.392151	13.799854
874.060669	13.799784
905.554810	13.799708
937.889099	13.799630
971.077881	13.799549
1005.135498	13.799466
1040.076294	13.799382
1075.914307	13.799298
1112.663696	13.799215
1150.338379	13.799133
1188.952148	13.798251
1228.518799	13.797682
1269.051758	13.797372
1310.564209	13.796741
1353.069336	13.796220
1396.579956	13.793923
1441.108643	13.791428
1486.667847	13.788221
1533.269409	13.786260
1580.925171	13.785676
1629.646606	13.785066
1679.444824	13.784353
1730.330322	13.784813
1782.313599	13.785294
1835.404541	13.785058
1889.612671	13.783973
1944.947144	13.782153
2001.416626	13.779510
2059.029053	13.775132
2117.792480	13.771584
2177.714111	13.767772
2238.800293	13.762094
2301.057617	13.755940
2364.491699	13.748837
2429.107666	13.739508
2494.910156	13.725880
2561.903076	13.708589
2630.089844	13.689239
2699.473633	13.671181
2770.056641	13.654066
2841.840820	13.639662
2914.826904	13.628261
2989.015869	13.620164
3064.407471	13.615674
3141.001465	13.613849
3218.796143	13.612793
3297.790283	13.612241
3377.981445	13.612179
3459.366211	13.612334
3541.941895	13.611804
3625.703857	13.611312
3710.647461	13.611420
3796.768066	13.611439
3884.059570	13.611811
3972.516113	13.611816
4062.130371	NaN
4152.895996	NaN
4244.804199	NaN
4337.847656	NaN
4432.017578	NaN
4527.304199	NaN
4623.698730	NaN
4721.191406	NaN
4819.770996	NaN
4919.427246	NaN
5020.149414	NaN
5121.925781	NaN
5224.744629	NaN
5328.593750	NaN
5433.460938	NaN
5539.333496	NaN
5646.199219	NaN
5754.043945	NaN
