Depth(m)	Temperature(°C)
1.018237	13.803044
3.165747	13.802884
5.464963	13.802584
7.920377	13.802227
10.536604	13.801786
13.318384	13.801274
16.270586	13.800487
19.398211	13.799042
22.706392	13.796270
26.200399	13.792732
29.885643	13.788898
33.767673	13.785608
37.852192	13.783198
42.145039	13.781570
46.652210	13.780700
51.379860	13.780431
56.334286	13.780229
61.521957	13.779999
66.949493	13.779737
72.623688	13.779436
78.551498	13.779061
84.740044	13.778611
91.196632	13.778092
97.928726	13.777525
104.943977	13.776910
112.250206	13.776204
119.855431	13.775438
127.767838	13.774573
135.995804	13.773584
144.547897	13.772537
153.432846	13.771440
162.659622	13.770281
172.237350	13.769063
182.175354	13.767787
192.483139	13.766458
203.170441	13.765015
214.247162	13.762801
225.723404	13.760910
237.609467	13.759065
249.915848	13.757287
262.653229	13.755568
275.832520	13.753819
289.464783	13.752054
303.561310	13.750200
318.133545	13.748135
333.193146	13.745680
348.751953	13.743620
364.821960	13.741585
381.415436	13.739507
398.544708	13.737342
416.222321	13.734049
434.461060	13.731801
453.273773	13.725141
472.673492	13.719906
492.673462	13.715022
513.286987	13.711925
534.527588	13.708191
556.408875	13.705299
578.944580	13.702538
602.148621	13.699604
626.034912	13.696715
650.617554	13.693817
675.910706	13.690890
701.928650	13.687971
728.685608	13.685064
756.196045	13.682186
784.474304	13.679235
813.534851	13.676242
843.392151	13.673226
874.060669	13.670238
905.554810	13.667452
937.889099	13.664902
971.077881	13.662457
1005.135498	13.660028
1040.076294	13.657767
1075.914307	13.655545
1112.663696	13.653446
1150.338379	13.651471
1188.952148	13.649586
1228.518799	13.647577
1269.051758	13.644703
1310.564209	13.641415
1353.069336	13.638991
1396.579956	13.636736
1441.108643	13.634723
1486.667847	13.632765
1533.269409	13.631362
1580.925171	13.629944
1629.646606	13.628858
1679.444824	13.627755
1730.330322	13.626078
1782.313599	13.623281
1835.404541	13.624294
1889.612671	13.626078
1944.947144	13.627458
2001.416626	13.628802
2059.029053	13.630206
2117.792480	13.631634
2177.714111	13.633201
2238.800293	13.634954
2301.057617	13.636773
2364.491699	13.638494
2429.107666	13.640008
2494.910156	13.641363
2561.903076	13.642550
2630.089844	13.643564
2699.473633	13.644451
2770.056641	13.645232
2841.840820	13.645897
2914.826904	13.646399
2989.015869	13.646732
3064.407471	13.646979
3141.001465	13.647170
3218.796143	13.647246
3297.790283	13.647210
3377.981445	13.647107
3459.366211	13.647113
3541.941895	13.647235
3625.703857	13.647358
3710.647461	13.647458
3796.768066	13.647454
3884.059570	13.647401
3972.516113	13.647734
4062.130371	NaN
4152.895996	NaN
4244.804199	NaN
4337.847656	NaN
4432.017578	NaN
4527.304199	NaN
4623.698730	NaN
4721.191406	NaN
4819.770996	NaN
4919.427246	NaN
5020.149414	NaN
5121.925781	NaN
5224.744629	NaN
5328.593750	NaN
5433.460938	NaN
5539.333496	NaN
5646.199219	NaN
5754.043945	NaN
